EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BIEBRZA-PIENCZYKOWEK, POLAND (STAID: 25095)
Blended and updated with sources:139590 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25095,139590,19560101,  -10,    0
 25095,139590,19560102,  -32,    0
 25095,139590,19560103,  -24,    0
 25095,139590,19560104,    4,    0
 25095,139590,19560105,   11,    0
 25095,139590,19560106,  -20,    0
 25095,139590,19560107,  -38,    0
 25095,139590,19560108,  -63,    0
 25095,139590,19560109,  -41,    0
 25095,139590,19560110,  -21,    0
 25095,139590,19560111,  -15,    0
 25095,139590,19560112,   10,    0
 25095,139590,19560113,   28,    0
 25095,139590,19560114,   10,    0
 25095,139590,19560115,    9,    0
 25095,139590,19560116,   16,    0
 25095,139590,19560117,   19,    0
 25095,139590,19560118,   21,    0
 25095,139590,19560119,   12,    0
 25095,139590,19560120,    2,    0
 25095,139590,19560121,   32,    0
 25095,139590,19560122,   25,    0
 25095,139590,19560123,   -6,    0
 25095,139590,19560124,   18,    0
 25095,139590,19560125,  -38,    0
 25095,139590,19560126,  -51,    0
 25095,139590,19560127,  -87,    0
 25095,139590,19560128,  -64,    0
 25095,139590,19560129, -100,    0
 25095,139590,19560130, -237,    0
 25095,139590,19560131, -272,    0
 25095,139590,19560201, -266,    0
 25095,139590,19560202, -130,    0
 25095,139590,19560203, -114,    0
 25095,139590,19560204, -116,    0
 25095,139590,19560205,  -71,    0
 25095,139590,19560206, -142,    0
 25095,139590,19560207, -206,    0
 25095,139590,19560208, -267,    0
 25095,139590,19560209, -182,    0
 25095,139590,19560210, -228,    0
 25095,139590,19560211, -257,    0
 25095,139590,19560212, -138,    0
 25095,139590,19560213, -142,    0
 25095,139590,19560214, -138,    0
 25095,139590,19560215,  -96,    0
 25095,139590,19560216,  -96,    0
 25095,139590,19560217, -114,    0
 25095,139590,19560218, -115,    0
 25095,139590,19560219,  -67,    0
 25095,139590,19560220,  -95,    0
 25095,139590,19560221, -132,    0
 25095,139590,19560222, -137,    0
 25095,139590,19560223, -158,    0
 25095,139590,19560224, -158,    0
 25095,139590,19560225,  -64,    0
 25095,139590,19560226,  -62,    0
 25095,139590,19560227,  -55,    0
 25095,139590,19560228,    2,    0
 25095,139590,19560229,    8,    0
 25095,139590,19560301,    4,    0
 25095,139590,19560302,   18,    0
 25095,139590,19560303,  -27,    0
 25095,139590,19560304,    2,    0
 25095,139590,19560305,    1,    0
 25095,139590,19560306,  -24,    0
 25095,139590,19560307,  -18,    0
 25095,139590,19560308,  -70,    0
 25095,139590,19560309,  -92,    0
 25095,139590,19560310,  -56,    0
 25095,139590,19560311,  -44,    0
 25095,139590,19560312,  -34,    0
 25095,139590,19560313,  -22,    0
 25095,139590,19560314,  -34,    0
 25095,139590,19560315,  -25,    0
 25095,139590,19560316,  -36,    0
 25095,139590,19560317,    1,    0
 25095,139590,19560318,   -8,    0
 25095,139590,19560319,  -50,    0
 25095,139590,19560320,  -40,    0
 25095,139590,19560321,  -24,    0
 25095,139590,19560322,  -50,    0
 25095,139590,19560323,  -44,    0
 25095,139590,19560324,  -33,    0
 25095,139590,19560325,  -28,    0
 25095,139590,19560326,  -24,    0
 25095,139590,19560327,  -27,    0
 25095,139590,19560328,  -29,    0
 25095,139590,19560329,   18,    0
 25095,139590,19560330,    5,    0
 25095,139590,19560331,   19,    0
 25095,139590,19560401,   14,    0
 25095,139590,19560402,   26,    0
 25095,139590,19560403,   31,    0
 25095,139590,19560404,   13,    0
 25095,139590,19560405,  -14,    0
 25095,139590,19560406,  -14,    0
 25095,139590,19560407,  -24,    0
 25095,139590,19560408,   -8,    0
 25095,139590,19560409,   12,    0
 25095,139590,19560410,   42,    0
 25095,139590,19560411,   35,    0
 25095,139590,19560412,   26,    0
 25095,139590,19560413,   29,    0
 25095,139590,19560414,   63,    0
 25095,139590,19560415,  100,    0
 25095,139590,19560416,   61,    0
 25095,139590,19560417,  167,    0
 25095,139590,19560418,   31,    0
 25095,139590,19560419,   32,    0
 25095,139590,19560420,   20,    0
 25095,139590,19560421,   20,    0
 25095,139590,19560422,   21,    0
 25095,139590,19560423,   36,    0
 25095,139590,19560424,   42,    0
 25095,139590,19560425,   47,    0
 25095,139590,19560426,   76,    0
 25095,139590,19560427,  102,    0
 25095,139590,19560428,  110,    0
 25095,139590,19560429,  118,    0
 25095,139590,19560430,  140,    0
 25095,139590,19560501,  127,    0
 25095,139590,19560502,  150,    0
 25095,139590,19560503,  143,    0
 25095,139590,19560504,   88,    0
 25095,139590,19560505,  108,    0
 25095,139590,19560506,  170,    0
 25095,139590,19560507,  144,    0
 25095,139590,19560508,   83,    0
 25095,139590,19560509,   75,    0
 25095,139590,19560510,  104,    0
 25095,139590,19560511,  106,    0
 25095,139590,19560512,  108,    0
 25095,139590,19560513,  112,    0
 25095,139590,19560514,  106,    0
 25095,139590,19560515,   84,    0
 25095,139590,19560516,  122,    0
 25095,139590,19560517,  100,    0
 25095,139590,19560518,   81,    0
 25095,139590,19560519,   75,    0
 25095,139590,19560520,   86,    0
 25095,139590,19560521,   93,    0
 25095,139590,19560522,   89,    0
 25095,139590,19560523,  140,    0
 25095,139590,19560524,  124,    0
 25095,139590,19560525,  162,    0
 25095,139590,19560526,  159,    0
 25095,139590,19560527,  135,    0
 25095,139590,19560528,  123,    0
 25095,139590,19560529,  142,    0
 25095,139590,19560530,  193,    0
 25095,139590,19560531,  170,    0
 25095,139590,19560601,  197,    0
 25095,139590,19560602,  158,    0
 25095,139590,19560603,  172,    0
 25095,139590,19560604,  180,    0
 25095,139590,19560605,  217,    0
 25095,139590,19560606,  215,    0
 25095,139590,19560607,  232,    0
 25095,139590,19560608,  236,    0
 25095,139590,19560609,  232,    0
 25095,139590,19560610,  194,    0
 25095,139590,19560611,  176,    0
 25095,139590,19560612,  188,    0
 25095,139590,19560613,  168,    0
 25095,139590,19560614,  184,    0
 25095,139590,19560615,  199,    0
 25095,139590,19560616,  109,    0
 25095,139590,19560617,  110,    0
 25095,139590,19560618,  182,    0
 25095,139590,19560619,  192,    0
 25095,139590,19560620,  182,    0
 25095,139590,19560621,  149,    0
 25095,139590,19560622,  180,    0
 25095,139590,19560623,  185,    0
 25095,139590,19560624,  199,    0
 25095,139590,19560625,  177,    0
 25095,139590,19560626,  140,    0
 25095,139590,19560627,  131,    0
 25095,139590,19560628,  113,    0
 25095,139590,19560629,  122,    0
 25095,139590,19560630,  120,    0
 25095,139590,19560701,  151,    0
 25095,139590,19560702,  189,    0
 25095,139590,19560703,  208,    0
 25095,139590,19560704,  193,    0
 25095,139590,19560705,  169,    0
 25095,139590,19560706,  161,    0
 25095,139590,19560707,  142,    0
 25095,139590,19560708,  143,    0
 25095,139590,19560709,  164,    0
 25095,139590,19560710,  152,    0
 25095,139590,19560711,  149,    0
 25095,139590,19560712,  164,    0
 25095,139590,19560713,  152,    0
 25095,139590,19560714,  182,    0
 25095,139590,19560715,  172,    0
 25095,139590,19560716,  166,    0
 25095,139590,19560717,  174,    0
 25095,139590,19560718,  170,    0
 25095,139590,19560719,  145,    0
 25095,139590,19560720,  170,    0
 25095,139590,19560721,  173,    0
 25095,139590,19560722,  192,    0
 25095,139590,19560723,  148,    0
 25095,139590,19560724,  137,    0
 25095,139590,19560725,  141,    0
 25095,139590,19560726,  164,    0
 25095,139590,19560727,  150,    0
 25095,139590,19560728,  146,    0
 25095,139590,19560729,  168,    0
 25095,139590,19560730,  168,    0
 25095,139590,19560731,  162,    0
 25095,139590,19560801,  143,    0
 25095,139590,19560802,  145,    0
 25095,139590,19560803,  145,    0
 25095,139590,19560804,  126,    0
 25095,139590,19560805,  129,    0
 25095,139590,19560806,  139,    0
 25095,139590,19560807,  139,    0
 25095,139590,19560808,  114,    0
 25095,139590,19560809,  126,    0
 25095,139590,19560810,  124,    0
 25095,139590,19560811,  118,    0
 25095,139590,19560812,  127,    0
 25095,139590,19560813,  129,    0
 25095,139590,19560814,  144,    0
 25095,139590,19560815,  152,    0
 25095,139590,19560816,  122,    0
 25095,139590,19560817,  125,    0
 25095,139590,19560818,  159,    0
 25095,139590,19560819,  157,    0
 25095,139590,19560820,  152,    0
 25095,139590,19560821,  142,    0
 25095,139590,19560822,  112,    0
 25095,139590,19560823,  142,    0
 25095,139590,19560824,  137,    0
 25095,139590,19560825,  141,    0
 25095,139590,19560826,  126,    0
 25095,139590,19560827,  164,    0
 25095,139590,19560828,  187,    0
 25095,139590,19560829,  166,    0
 25095,139590,19560830,  142,    0
 25095,139590,19560831,  115,    0
 25095,139590,19560901,  107,    0
 25095,139590,19560902,  150,    0
