EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KRZYZEWO, POLAND (STAID: 25100)
Blended and updated with sources:139650 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25100,139650,19860101, -131,    0
 25100,139650,19860102,  -63,    0
 25100,139650,19860103,  -34,    0
 25100,139650,19860104,   -9,    0
 25100,139650,19860105,  -39,    0
 25100,139650,19860106,  -53,    0
 25100,139650,19860107,  -25,    0
 25100,139650,19860108,  -35,    0
 25100,139650,19860109,  -75,    0
 25100,139650,19860110,  -46,    0
 25100,139650,19860111,  -53,    0
 25100,139650,19860112,    5,    0
 25100,139650,19860113,    8,    0
 25100,139650,19860114,   11,    0
 25100,139650,19860115,   10,    0
 25100,139650,19860116,  -13,    0
 25100,139650,19860117,  -53,    0
 25100,139650,19860118,  -78,    0
 25100,139650,19860119,   -1,    0
 25100,139650,19860120,   20,    0
 25100,139650,19860121,    6,    0
 25100,139650,19860122,   17,    0
 25100,139650,19860123,   21,    0
 25100,139650,19860124,   29,    0
 25100,139650,19860125,    7,    0
 25100,139650,19860126,    2,    0
 25100,139650,19860127,  -13,    0
 25100,139650,19860128,  -40,    0
 25100,139650,19860129,  -69,    0
 25100,139650,19860130,  -20,    0
 25100,139650,19860131,  -19,    0
 25100,139650,19860201,  -64,    0
 25100,139650,19860202, -101,    0
 25100,139650,19860203, -125,    0
 25100,139650,19860204, -154,    0
 25100,139650,19860205, -149,    0
 25100,139650,19860206, -154,    0
 25100,139650,19860207, -214,    0
 25100,139650,19860208, -184,    0
 25100,139650,19860209,  -53,    0
 25100,139650,19860210,  -93,    0
 25100,139650,19860211, -126,    0
 25100,139650,19860212, -125,    0
 25100,139650,19860213, -151,    0
 25100,139650,19860214, -136,    0
 25100,139650,19860215,  -81,    0
 25100,139650,19860216,  -76,    0
 25100,139650,19860217,  -71,    0
 25100,139650,19860218,  -50,    0
 25100,139650,19860219, -119,    0
 25100,139650,19860220, -117,    0
 25100,139650,19860221, -115,    0
 25100,139650,19860222,  -98,    0
 25100,139650,19860223, -107,    0
 25100,139650,19860224, -118,    0
 25100,139650,19860225, -139,    0
 25100,139650,19860226, -143,    0
 25100,139650,19860227,  -94,    0
 25100,139650,19860228,  -74,    0
 25100,139650,19860301, -122,    0
 25100,139650,19860302, -124,    0
 25100,139650,19860303, -132,    0
 25100,139650,19860304,  -54,    0
 25100,139650,19860305,   -7,    0
 25100,139650,19860306,   29,    0
 25100,139650,19860307,   29,    0
 25100,139650,19860308,   20,    0
 25100,139650,19860309,   10,    0
 25100,139650,19860310,    5,    0
 25100,139650,19860311,    3,    0
 25100,139650,19860312,    6,    0
 25100,139650,19860313,    1,    0
 25100,139650,19860314,  -15,    0
 25100,139650,19860315,  -15,    0
 25100,139650,19860316,   -3,    0
 25100,139650,19860317,    8,    0
 25100,139650,19860318,   13,    0
 25100,139650,19860319,   14,    0
 25100,139650,19860320,   12,    0
 25100,139650,19860321,   10,    0
 25100,139650,19860322,   12,    0
 25100,139650,19860323,   30,    0
 25100,139650,19860324,   24,    0
 25100,139650,19860325,   51,    0
 25100,139650,19860326,   35,    0
 25100,139650,19860327,   56,    0
 25100,139650,19860328,   97,    0
 25100,139650,19860329,   72,    0
 25100,139650,19860330,   70,    0
 25100,139650,19860331,   74,    0
 25100,139650,19860401,   63,    0
 25100,139650,19860402,   31,    0
 25100,139650,19860403,   40,    0
 25100,139650,19860404,   41,    0
 25100,139650,19860405,   42,    0
 25100,139650,19860406,   44,    0
 25100,139650,19860407,   50,    0
 25100,139650,19860408,  103,    0
 25100,139650,19860409,   88,    0
 25100,139650,19860410,   40,    0
 25100,139650,19860411,  -27,    0
 25100,139650,19860412,  -29,    0
 25100,139650,19860413,  -14,    0
 25100,139650,19860414,    5,    0
 25100,139650,19860415,   22,    0
 25100,139650,19860416,   41,    0
 25100,139650,19860417,   62,    0
 25100,139650,19860418,   99,    0
 25100,139650,19860419,   98,    0
 25100,139650,19860420,   39,    0
 25100,139650,19860421,   60,    0
 25100,139650,19860422,  106,    0
