EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SUPRASL, POLAND (STAID: 25102)
Blended and updated with sources:139674 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25102,139674,20120101,  -23,    0
 25102,139674,20120102,   24,    0
 25102,139674,20120103,   33,    0
 25102,139674,20120104,   43,    0
 25102,139674,20120105,   28,    0
 25102,139674,20120106,   18,    0
 25102,139674,20120107,   -7,    0
 25102,139674,20120108,    2,    0
 25102,139674,20120109,   11,    0
 25102,139674,20120110,  -16,    0
 25102,139674,20120111,  -14,    0
 25102,139674,20120112,   37,    0
 25102,139674,20120113,   17,    0
 25102,139674,20120114,  -18,    0
 25102,139674,20120115,  -32,    0
 25102,139674,20120116,  -35,    0
 25102,139674,20120117,  -45,    0
 25102,139674,20120118,  -47,    0
 25102,139674,20120119,  -10,    0
 25102,139674,20120120,    2,    0
 25102,139674,20120121,   -1,    0
 25102,139674,20120122,   -3,    0
 25102,139674,20120123,    5,    0
 25102,139674,20120124,  -20,    0
 25102,139674,20120125,  -28,    0
 25102,139674,20120126,  -77,    0
 25102,139674,20120127, -120,    0
 25102,139674,20120128, -131,    0
 25102,139674,20120129, -154,    0
 25102,139674,20120130, -149,    0
 25102,139674,20120131, -168,    0
 25102,139674,20120201, -183,    0
 25102,139674,20120202, -229,    0
 25102,139674,20120203, -237,    0
 25102,139674,20120204, -225,    0
 25102,139674,20120205, -206,    0
 25102,139674,20120206, -171,    0
 25102,139674,20120207, -116,    0
 25102,139674,20120208, -101,    0
 25102,139674,20120209, -127,    0
 25102,139674,20120210, -191,    0
 25102,139674,20120211, -187,    0
 25102,139674,20120212, -187,    0
 25102,139674,20120213,  -91,    0
 25102,139674,20120214,  -58,    0
 25102,139674,20120215,  -56,    0
 25102,139674,20120216, -101,    0
 25102,139674,20120217, -129,    0
 25102,139674,20120218,  -60,    0
 25102,139674,20120219,  -18,    0
 25102,139674,20120220,    4,    0
 25102,139674,20120221,  -16,    0
 25102,139674,20120222,   15,    0
 25102,139674,20120223,   34,    0
 25102,139674,20120224,   33,    0
 25102,139674,20120225,   28,    0
 25102,139674,20120226,    0,    0
 25102,139674,20120227,  -19,    0
 25102,139674,20120228,  -42,    0
 25102,139674,20120229,    8,    0
 25102,139674,20120301,   20,    0
 25102,139674,20120302,   33,    0
 25102,139674,20120303,   14,    0
 25102,139674,20120304,  -20,    0
 25102,139674,20120305,  -44,    0
 25102,139674,20120306,  -55,    0
 25102,139674,20120307,  -42,    0
 25102,139674,20120308,  -42,    0
 25102,139674,20120309,  -33,    0
 25102,139674,20120310,   16,    0
 25102,139674,20120311,   22,    0
 25102,139674,20120312,    5,    0
 25102,139674,20120313,   27,    0
 25102,139674,20120314,   14,    0
 25102,139674,20120315,    3,    0
 25102,139674,20120316,   39,    0
 25102,139674,20120317,   55,    0
 25102,139674,20120318,   67,    0
 25102,139674,20120319,   42,    0
 25102,139674,20120320,   38,    0
 25102,139674,20120321,   76,    0
 25102,139674,20120322,   74,    0
 25102,139674,20120323,   67,    0
 25102,139674,20120324,   35,    0
 25102,139674,20120325,   38,    0
 25102,139674,20120326,   31,    0
 25102,139674,20120327,   72,    0
 25102,139674,20120328,   84,    0
 25102,139674,20120329,   69,    0
 25102,139674,20120330,   35,    0
 25102,139674,20120331,   21,    0
 25102,139674,20120401,   10,    0
 25102,139674,20120402,   21,    0
 25102,139674,20120403,   13,    0
 25102,139674,20120404,   41,    0
 25102,139674,20120405,   17,    0
 25102,139674,20120406,    3,    0
 25102,139674,20120407,   34,    0
 25102,139674,20120408,   22,    0
 25102,139674,20120409,   12,    0
 25102,139674,20120410,   23,    0
 25102,139674,20120411,   78,    0
 25102,139674,20120412,  105,    0
 25102,139674,20120413,   87,    0
 25102,139674,20120414,   70,    0
 25102,139674,20120415,  111,    0
 25102,139674,20120416,   96,    0
 25102,139674,20120417,   56,    0
 25102,139674,20120418,   56,    0
 25102,139674,20120419,   81,    0
 25102,139674,20120420,  107,    0
 25102,139674,20120421,  107,    0
 25102,139674,20120422,  105,    0
 25102,139674,20120423,   69,    0
 25102,139674,20120424,   72,    0
 25102,139674,20120425,  112,    0
 25102,139674,20120426,  115,    0
 25102,139674,20120427,  176,    0
 25102,139674,20120428,  194,    0
 25102,139674,20120429,  202,    0
 25102,139674,20120430,  204,    0
 25102,139674,20120501,  183,    0
 25102,139674,20120502,  164,    0
 25102,139674,20120503,  147,    0
 25102,139674,20120504,  150,    0
 25102,139674,20120505,  164,    0
 25102,139674,20120506,  160,    0
 25102,139674,20120507,   86,    0
 25102,139674,20120508,   90,    0
 25102,139674,20120509,  121,    0
 25102,139674,20120510,  157,    0
 25102,139674,20120511,  210,    0
 25102,139674,20120512,  147,    0
 25102,139674,20120513,   87,    0
 25102,139674,20120514,   95,    0
 25102,139674,20120515,  109,    0
 25102,139674,20120516,  136,    0
 25102,139674,20120517,   87,    0
 25102,139674,20120518,   90,    0
 25102,139674,20120519,  128,    0
 25102,139674,20120520,  177,    0
 25102,139674,20120521,  226,    0
 25102,139674,20120522,  236,    0
 25102,139674,20120523,  200,    0
 25102,139674,20120524,  163,    0
 25102,139674,20120525,  145,    0
 25102,139674,20120526,  153,    0
 25102,139674,20120527,  128,    0
 25102,139674,20120528,  171,    0
 25102,139674,20120529,  164,    0
 25102,139674,20120530,   99,    0
 25102,139674,20120531,   88,    0
 25102,139674,20120601,  113,    0
 25102,139674,20120602,   83,    0
 25102,139674,20120603,  107,    0
 25102,139674,20120604,  124,    0
 25102,139674,20120605,  141,    0
 25102,139674,20120606,  129,    0
 25102,139674,20120607,  130,    0
 25102,139674,20120608,  145,    0
 25102,139674,20120609,  188,    0
 25102,139674,20120610,  189,    0
 25102,139674,20120611,  176,    0
 25102,139674,20120612,  168,    0
 25102,139674,20120613,  161,    0
 25102,139674,20120614,  150,    0
 25102,139674,20120615,  140,    0
 25102,139674,20120616,  169,    0
 25102,139674,20120617,  219,    0
 25102,139674,20120618,  204,    0
 25102,139674,20120619,  218,    0
 25102,139674,20120620,  152,    0
 25102,139674,20120621,  170,    0
 25102,139674,20120622,  177,    0
 25102,139674,20120623,  187,    0
 25102,139674,20120624,  184,    0
 25102,139674,20120625,  174,    0
 25102,139674,20120626,  144,    0
 25102,139674,20120627,  139,    0
 25102,139674,20120628,  145,    0
 25102,139674,20120629,  171,    0
 25102,139674,20120630,  205,    0
 25102,139674,20120701,  229,    0
 25102,139674,20120702,  216,    0
 25102,139674,20120703,  233,    0
 25102,139674,20120704,  214,    0
 25102,139674,20120705,  243,    0
 25102,139674,20120706,  264,    0
 25102,139674,20120707,  264,    0
 25102,139674,20120708,  247,    0
 25102,139674,20120709,  220,    0
 25102,139674,20120710,  216,    0
 25102,139674,20120711,  196,    0
 25102,139674,20120712,  185,    0
 25102,139674,20120713,  162,    0
 25102,139674,20120714,  172,    0
 25102,139674,20120715,  182,    0
 25102,139674,20120716,  156,    0
 25102,139674,20120717,  142,    0
 25102,139674,20120718,  147,    0
 25102,139674,20120719,  162,    0
 25102,139674,20120720,  154,    0
 25102,139674,20120721,  152,    0
 25102,139674,20120722,  159,    0
 25102,139674,20120723,  156,    0
 25102,139674,20120724,  187,    0
 25102,139674,20120725,  199,    0
 25102,139674,20120726,  213,    0
 25102,139674,20120727,  243,    0
 25102,139674,20120728,  255,    0
 25102,139674,20120729,  254,    0
 25102,139674,20120730,  203,    0
 25102,139674,20120731,  194,    0
 25102,139674,20120801,  193,    0
 25102,139674,20120802,  214,    0
 25102,139674,20120803,  243,    0
 25102,139674,20120804,  205,    0
 25102,139674,20120805,  209,    0
 25102,139674,20120806,  227,    0
 25102,139674,20120807,  182,    0
 25102,139674,20120808,  171,    0
 25102,139674,20120809,  146,    0
 25102,139674,20120810,  139,    0
 25102,139674,20120811,  152,    0
 25102,139674,20120812,  127,    0
 25102,139674,20120813,  135,    0
 25102,139674,20120814,  135,    0
 25102,139674,20120815,  157,    0
 25102,139674,20120816,  164,    0
 25102,139674,20120817,  164,    0
 25102,139674,20120818,  175,    0
 25102,139674,20120819,  210,    0
 25102,139674,20120820,  213,    0
 25102,139674,20120821,  199,    0
 25102,139674,20120822,  210,    0
 25102,139674,20120823,  173,    0
