EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOSCIERZYNA, POLAND (STAID: 25108)
Blended and updated with sources:139746 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25108,139746,19520101,   -6,    0
 25108,139746,19520102,   16,    0
 25108,139746,19520103,   15,    0
 25108,139746,19520104,    3,    0
 25108,139746,19520105,   -3,    0
 25108,139746,19520106,   -8,    0
 25108,139746,19520107,   41,    0
 25108,139746,19520108,   37,    0
 25108,139746,19520109,   30,    0
 25108,139746,19520110,   -2,    0
 25108,139746,19520111,   12,    0
 25108,139746,19520112,    0,    0
 25108,139746,19520113,  -18,    0
 25108,139746,19520114,    1,    0
 25108,139746,19520115,   26,    0
 25108,139746,19520116,   14,    0
 25108,139746,19520117,   -5,    0
 25108,139746,19520118,    1,    0
 25108,139746,19520119,   -2,    0
 25108,139746,19520120,   11,    0
 25108,139746,19520121,  -18,    0
 25108,139746,19520122,  -63,    0
 25108,139746,19520123,  -78,    0
 25108,139746,19520124,  -66,    0
 25108,139746,19520125,  -34,    0
 25108,139746,19520126,  -28,    0
 25108,139746,19520127,  -26,    0
 25108,139746,19520128,  -41,    0
 25108,139746,19520129,  -42,    0
 25108,139746,19520130,  -22,    0
 25108,139746,19520131,  -17,    0
 25108,139746,19520201,  -31,    0
 25108,139746,19520202,  -60,    0
 25108,139746,19520203,  -35,    0
 25108,139746,19520204,   -6,    0
 25108,139746,19520205,  -14,    0
 25108,139746,19520206,  -10,    0
 25108,139746,19520207,    9,    0
 25108,139746,19520208,    3,    0
 25108,139746,19520209,  -22,    0
 25108,139746,19520210,  -62,    0
 25108,139746,19520211,  -31,    0
 25108,139746,19520212,  -32,    0
 25108,139746,19520213,  -68,    0
 25108,139746,19520214,  -96,    0
 25108,139746,19520215,  -51,    0
 25108,139746,19520216,  -54,    0
 25108,139746,19520217,  -36,    0
 25108,139746,19520218,  -26,    0
 25108,139746,19520219,  -23,    0
 25108,139746,19520220,    0,    0
 25108,139746,19520221,   18,    0
 25108,139746,19520222,   31,    0
 25108,139746,19520223,   23,    0
 25108,139746,19520224,    0,    0
 25108,139746,19520225,    2,    0
 25108,139746,19520226,    6,    0
 25108,139746,19520227,    5,    0
 25108,139746,19520228,   -6,    0
