EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLUPSK, POLAND (STAID: 25111)
Blended and updated with sources:139782 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25111,139782,19510101,  -62,    0
 25111,139782,19510102,  -26,    0
 25111,139782,19510103,   12,    0
 25111,139782,19510104,   11,    0
 25111,139782,19510105,   12,    0
 25111,139782,19510106,   22,    0
 25111,139782,19510107,   32,    0
 25111,139782,19510108,   19,    0
 25111,139782,19510109,   26,    0
 25111,139782,19510110,    0,    0
 25111,139782,19510111,   33,    0
 25111,139782,19510112,   50,    0
 25111,139782,19510113,   25,    0
 25111,139782,19510114,   29,    0
 25111,139782,19510115,   22,    0
 25111,139782,19510116,   19,    0
 25111,139782,19510117,   10,    0
 25111,139782,19510118,   29,    0
 25111,139782,19510119,   31,    0
 25111,139782,19510120,   23,    0
 25111,139782,19510121,  -19,    0
 25111,139782,19510122,  -29,    0
 25111,139782,19510123,  -52,    0
 25111,139782,19510124,  -73,    0
 25111,139782,19510125, -112,    0
 25111,139782,19510126,  -81,    0
 25111,139782,19510127,  -46,    0
 25111,139782,19510128,  -46,    0
 25111,139782,19510129,  -30,    0
 25111,139782,19510130,  -64,    0
 25111,139782,19510131,  -73,    0
 25111,139782,19510201,  -49,    0
 25111,139782,19510202,  -83,    0
 25111,139782,19510203,  -67,    0
 25111,139782,19510204,  -61,    0
 25111,139782,19510205,  -23,    0
 25111,139782,19510206,   31,    0
 25111,139782,19510207,   16,    0
 25111,139782,19510208,   14,    0
 25111,139782,19510209,   35,    0
 25111,139782,19510210,   13,    0
 25111,139782,19510211,   15,    0
 25111,139782,19510212,   16,    0
 25111,139782,19510213,    9,    0
 25111,139782,19510214,    6,    0
 25111,139782,19510215,  -16,    0
 25111,139782,19510216,  -11,    0
 25111,139782,19510217,    1,    0
 25111,139782,19510218,   26,    0
 25111,139782,19510219,   31,    0
 25111,139782,19510220,    7,    0
 25111,139782,19510221,   28,    0
 25111,139782,19510222,   23,    0
 25111,139782,19510223,   23,    0
 25111,139782,19510224,   22,    0
 25111,139782,19510225,   13,    0
 25111,139782,19510226,   14,    0
 25111,139782,19510227,    4,    0
