EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GDANSK-SWIBNO, POLAND (STAID: 25116)
Blended and updated with sources:139842 912155 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25116,139842,19510101,  -75,    0
 25116,139842,19510102,  -44,    0
 25116,139842,19510103,    9,    0
 25116,139842,19510104,    4,    0
 25116,139842,19510105,   -8,    0
 25116,139842,19510106,   23,    0
 25116,139842,19510107,   16,    0
 25116,139842,19510108,   20,    0
 25116,139842,19510109,   14,    0
 25116,139842,19510110,   16,    0
 25116,139842,19510111,   10,    0
 25116,139842,19510112,   18,    0
 25116,139842,19510113,   12,    0
 25116,139842,19510114,   10,    0
 25116,139842,19510115,   10,    0
 25116,139842,19510116,   16,    0
 25116,139842,19510117,    3,    0
 25116,139842,19510118,    9,    0
 25116,139842,19510119,   13,    0
 25116,139842,19510120,   17,    0
 25116,139842,19510121,    1,    0
 25116,139842,19510122,  -19,    0
 25116,139842,19510123,  -62,    0
 25116,139842,19510124,  -65,    0
 25116,139842,19510125, -124,    0
 25116,139842,19510126,  -81,    0
 25116,139842,19510127,  -67,    0
 25116,139842,19510128,  -46,    0
 25116,139842,19510129,  -51,    0
 25116,139842,19510130,  -70,    0
 25116,139842,19510131,  -77,    0
 25116,139842,19510201,  -66,    0
 25116,139842,19510202,  -90,    0
 25116,139842,19510203,  -73,    0
 25116,139842,19510204,  -68,    0
 25116,139842,19510205,  -27,    0
 25116,139842,19510206,   15,    0
 25116,139842,19510207,   21,    0
 25116,139842,19510208,    5,    0
 25116,139842,19510209,   17,    0
 25116,139842,19510210,   -4,    0
 25116,139842,19510211,    4,    0
 25116,139842,19510212,    7,    0
 25116,139842,19510213,   14,    0
 25116,139842,19510214,    0,    0
 25116,139842,19510215,  -29,    0
 25116,139842,19510216,  -28,    0
 25116,139842,19510217,  -10,    0
 25116,139842,19510218,   15,    0
 25116,139842,19510219,   15,    0
 25116,139842,19510220,    6,    0
 25116,139842,19510221,   15,    0
 25116,139842,19510222,   14,    0
 25116,139842,19510223,   13,    0
 25116,139842,19510224,   19,    0
 25116,139842,19510225,    8,    0
 25116,139842,19510226,    9,    0
 25116,139842,19510227,    5,    0
 25116,139842,19510228,  -12,    0
 25116,139842,19510301,  -21,    0
 25116,139842,19510302,  -35,    0
 25116,139842,19510303,  -74,    0
 25116,139842,19510304,  -74,    0
 25116,139842,19510305,  -39,    0
 25116,139842,19510306,  -27,    0
 25116,139842,19510307,   -7,    0
 25116,139842,19510308,  -12,    0
 25116,139842,19510309,  -30,    0
 25116,139842,19510310,  -51,    0
 25116,139842,19510311,  -54,    0
 25116,139842,19510312,   -9,    0
 25116,139842,19510313,   15,    0
 25116,139842,19510314,   24,    0
 25116,139842,19510315,   40,    0
 25116,139842,19510316,   -6,    0
 25116,139842,19510317,    0,    0
 25116,139842,19510318,   22,    0
 25116,139842,19510319,   55,    0
 25116,139842,19510320,   -9,    0
 25116,139842,19510321,  -23,    0
 25116,139842,19510322,   24,    0
 25116,139842,19510323,   54,    0
 25116,139842,19510324,   28,    0
 25116,139842,19510325,    1,    0
 25116,139842,19510326,   19,    0
 25116,139842,19510327,   41,    0
 25116,139842,19510328,    9,    0
 25116,139842,19510329,   18,    0
 25116,139842,19510330,   17,    0
 25116,139842,19510331,   35,    0
 25116,139842,19510401,   56,    0
 25116,139842,19510402,   40,    0
 25116,139842,19510403,   51,    0
 25116,139842,19510404,   59,    0
 25116,139842,19510405,   62,    0
 25116,139842,19510406,   56,    0
 25116,139842,19510407,   90,    0
 25116,139842,19510408,   89,    0
 25116,139842,19510409,   72,    0
 25116,139842,19510410,   71,    0
 25116,139842,19510411,   59,    0
 25116,139842,19510412,   48,    0
 25116,139842,19510413,   78,    0
 25116,139842,19510414,   54,    0
 25116,139842,19510415,   29,    0
 25116,139842,19510416,   71,    0
 25116,139842,19510417,   47,    0
 25116,139842,19510418,   50,    0
 25116,139842,19510419,   69,    0
 25116,139842,19510420,   32,    0
 25116,139842,19510421,   34,    0
 25116,139842,19510422,   48,    0
 25116,139842,19510423,   61,    0
 25116,139842,19510424,   97,    0
 25116,139842,19510425,  131,    0
 25116,139842,19510426,  159,    0
 25116,139842,19510427,  169,    0
 25116,139842,19510428,  139,    0
 25116,139842,19510429,   87,    0
 25116,139842,19510430,  119,    0
 25116,139842,19510501,   93,    0
 25116,139842,19510502,   77,    0
 25116,139842,19510503,   79,    0
 25116,139842,19510504,   95,    0
 25116,139842,19510505,  103,    0
 25116,139842,19510506,   82,    0
 25116,139842,19510507,   92,    0
 25116,139842,19510508,  127,    0
 25116,139842,19510509,   93,    0
 25116,139842,19510510,   79,    0
 25116,139842,19510511,   62,    0
 25116,139842,19510512,   85,    0
 25116,139842,19510513,   95,    0
 25116,139842,19510514,   80,    0
 25116,139842,19510515,   82,    0
 25116,139842,19510516,   95,    0
 25116,139842,19510517,   90,    0
 25116,139842,19510518,   97,    0
 25116,139842,19510519,  114,    0
 25116,139842,19510520,  109,    0
 25116,139842,19510521,  120,    0
 25116,139842,19510522,   94,    0
 25116,139842,19510523,  105,    0
 25116,139842,19510524,   86,    0
 25116,139842,19510525,   76,    0
 25116,139842,19510526,   87,    0
 25116,139842,19510527,  142,    0
 25116,139842,19510528,  134,    0
 25116,139842,19510529,   84,    0
 25116,139842,19510530,   77,    0
 25116,139842,19510531,   93,    0
 25116,139842,19510601,  125,    0
 25116,139842,19510602,  175,    0
 25116,139842,19510603,  168,    0
 25116,139842,19510604,  182,    0
 25116,139842,19510605,  181,    0
 25116,139842,19510606,  163,    0
 25116,139842,19510607,  125,    0
 25116,139842,19510608,   93,    0
 25116,139842,19510609,  113,    0
 25116,139842,19510610,  148,    0
 25116,139842,19510611,  133,    0
 25116,139842,19510612,  149,    0
 25116,139842,19510613,  171,    0
 25116,139842,19510614,  160,    0
 25116,139842,19510615,  186,    0
 25116,139842,19510616,  164,    0
 25116,139842,19510617,  180,    0
 25116,139842,19510618,  167,    0
 25116,139842,19510619,  149,    0
 25116,139842,19510620,  154,    0
 25116,139842,19510621,  151,    0
 25116,139842,19510622,  194,    0
 25116,139842,19510623,  231,    0
 25116,139842,19510624,  227,    0
 25116,139842,19510625,  195,    0
