EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KATOWICE-MUCHOWIEC, POLAND (STAID: 25132)
Blended and updated with sources:140034 912560 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25132,140034,19510101,  -46,    0
 25132,140034,19510102,  -22,    0
 25132,140034,19510103,   19,    0
 25132,140034,19510104,   -1,    0
 25132,140034,19510105,    9,    0
 25132,140034,19510106,   32,    0
 25132,140034,19510107,   30,    0
 25132,140034,19510108,   31,    0
 25132,140034,19510109,   35,    0
 25132,140034,19510110,    0,    0
 25132,140034,19510111,   30,    0
 25132,140034,19510112,   30,    0
 25132,140034,19510113,   70,    0
 25132,140034,19510114,    9,    0
 25132,140034,19510115,   32,    0
 25132,140034,19510116,    6,    0
 25132,140034,19510117,  -11,    0
 25132,140034,19510118,    3,    0
 25132,140034,19510119,   11,    0
 25132,140034,19510120,    5,    0
 25132,140034,19510121,  -12,    0
 25132,140034,19510122,  -62,    0
 25132,140034,19510123,  -33,    0
 25132,140034,19510124,  -90,    0
 25132,140034,19510125,  -81,    0
 25132,140034,19510126,   -9,    0
 25132,140034,19510127,  -48,    0
 25132,140034,19510128,   -8,    0
 25132,140034,19510129,  -48,    0
 25132,140034,19510130,  -82,    0
 25132,140034,19510131,  -61,    0
 25132,140034,19510201,  -58,    0
 25132,140034,19510202,  -86,    0
 25132,140034,19510203,  -75,    0
 25132,140034,19510204,  -43,    0
 25132,140034,19510205,   39,    0
 25132,140034,19510206,   78,    0
 25132,140034,19510207,   72,    0
 25132,140034,19510208,   42,    0
 25132,140034,19510209,   29,    0
 25132,140034,19510210,    1,    0
 25132,140034,19510211,   20,    0
 25132,140034,19510212,   57,    0
 25132,140034,19510213,   58,    0
 25132,140034,19510214,   34,    0
 25132,140034,19510215,    8,    0
 25132,140034,19510216,    2,    0
 25132,140034,19510217,    9,    0
 25132,140034,19510218,   16,    0
 25132,140034,19510219,   23,    0
 25132,140034,19510220,   16,    0
 25132,140034,19510221,   34,    0
 25132,140034,19510222,    8,    0
 25132,140034,19510223,    7,    0
 25132,140034,19510224,   25,    0
 25132,140034,19510225,   30,    0
 25132,140034,19510226,   12,    0
 25132,140034,19510227,   -4,    0
 25132,140034,19510228,  -18,    0
 25132,140034,19510301,  -42,    0
 25132,140034,19510302,  -35,    0
 25132,140034,19510303,  -61,    0
 25132,140034,19510304,  -61,    0
 25132,140034,19510305,  -34,    0
 25132,140034,19510306,  -23,    0
 25132,140034,19510307,   -6,    0
 25132,140034,19510308,   -3,    0
 25132,140034,19510309,  -23,    0
 25132,140034,19510310,  -35,    0
 25132,140034,19510311,  -31,    0
 25132,140034,19510312,   26,    0
 25132,140034,19510313,   45,    0
 25132,140034,19510314,   67,    0
 25132,140034,19510315,   64,    0
 25132,140034,19510316,   24,    0
 25132,140034,19510317,   55,    0
 25132,140034,19510318,  116,    0
 25132,140034,19510319,  100,    0
 25132,140034,19510320,   10,    0
 25132,140034,19510321,  -14,    0
 25132,140034,19510322,   12,    0
 25132,140034,19510323,   36,    0
 25132,140034,19510324,   51,    0
 25132,140034,19510325,   19,    0
 25132,140034,19510326,    3,    0
 25132,140034,19510327,   39,    0
 25132,140034,19510328,   20,    0
 25132,140034,19510329,   24,    0
 25132,140034,19510330,   16,    0
 25132,140034,19510331,   69,    0
 25132,140034,19510401,   62,    0
 25132,140034,19510402,   80,    0
 25132,140034,19510403,   83,    0
 25132,140034,19510404,   69,    0
 25132,140034,19510405,   90,    0
 25132,140034,19510406,   72,    0
 25132,140034,19510407,   91,    0
 25132,140034,19510408,  106,    0
 25132,140034,19510409,   29,    0
 25132,140034,19510410,   69,    0
 25132,140034,19510411,   70,    0
 25132,140034,19510412,   35,    0
 25132,140034,19510413,   59,    0
 25132,140034,19510414,   75,    0
 25132,140034,19510415,   42,    0
 25132,140034,19510416,   53,    0
 25132,140034,19510417,   84,    0
 25132,140034,19510418,   83,    0
 25132,140034,19510419,  138,    0
 25132,140034,19510420,   53,    0
 25132,140034,19510421,   43,    0
 25132,140034,19510422,   37,    0
 25132,140034,19510423,   63,    0
 25132,140034,19510424,   96,    0
 25132,140034,19510425,  137,    0
 25132,140034,19510426,  151,    0
 25132,140034,19510427,  154,    0
 25132,140034,19510428,  143,    0
 25132,140034,19510429,  131,    0
 25132,140034,19510430,  125,    0
 25132,140034,19510501,  115,    0
 25132,140034,19510502,  146,    0
 25132,140034,19510503,  138,    0
 25132,140034,19510504,  140,    0
 25132,140034,19510505,  136,    0
 25132,140034,19510506,  118,    0
 25132,140034,19510507,  117,    0
 25132,140034,19510508,  140,    0
 25132,140034,19510509,  111,    0
 25132,140034,19510510,  111,    0
 25132,140034,19510511,   66,    0
 25132,140034,19510512,   63,    0
 25132,140034,19510513,  102,    0
 25132,140034,19510514,   94,    0
