EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZAMOSC, POLAND (STAID: 25136)
Blended and updated with sources:140082 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25136,140082,19510101,  -30,    0
 25136,140082,19510102,  -22,    0
 25136,140082,19510103,   -2,    0
 25136,140082,19510104,   -7,    0
 25136,140082,19510105,   -2,    0
 25136,140082,19510106,   23,    0
 25136,140082,19510107,   31,    0
 25136,140082,19510108,   18,    0
 25136,140082,19510109,   18,    0
 25136,140082,19510110,   23,    0
 25136,140082,19510111,   29,    0
 25136,140082,19510112,   49,    0
 25136,140082,19510113,   59,    0
 25136,140082,19510114,   19,    0
 25136,140082,19510115,   19,    0
 25136,140082,19510116,    9,    0
 25136,140082,19510117,  -14,    0
 25136,140082,19510118,  -12,    0
 25136,140082,19510119,    7,    0
 25136,140082,19510120,    5,    0
 25136,140082,19510121,  -10,    0
 25136,140082,19510122,  -70,    0
 25136,140082,19510123, -123,    0
 25136,140082,19510124, -168,    0
 25136,140082,19510125, -168,    0
 25136,140082,19510126,  -63,    0
 25136,140082,19510127,  -96,    0
 25136,140082,19510128,  -69,    0
 25136,140082,19510129,  -81,    0
 25136,140082,19510130,  -92,    0
 25136,140082,19510131,  -80,    0
 25136,140082,19510201, -100,    0
 25136,140082,19510202,  -88,    0
 25136,140082,19510203,  -88,    0
 25136,140082,19510204,  -98,    0
 25136,140082,19510205,  -54,    0
 25136,140082,19510206,    0,    0
 25136,140082,19510207,   23,    0
 25136,140082,19510208,   18,    0
 25136,140082,19510209,   -9,    0
 25136,140082,19510210,  -54,    0
 25136,140082,19510211,  -15,    0
 25136,140082,19510212,   35,    0
 25136,140082,19510213,   38,    0
 25136,140082,19510214,    5,    0
 25136,140082,19510215,    0,    0
 25136,140082,19510216,  -14,    0
 25136,140082,19510217,  -22,    0
 25136,140082,19510218,   -2,    0
 25136,140082,19510219,    7,    0
 25136,140082,19510220,    5,    0
 25136,140082,19510221,   34,    0
 25136,140082,19510222,   11,    0
 25136,140082,19510223,   11,    0
 25136,140082,19510224,   13,    0
 25136,140082,19510225,   16,    0
 25136,140082,19510226,   28,    0
 25136,140082,19510227,    7,    0
 25136,140082,19510228,    1,    0
 25136,140082,19510301,   -8,    0
 25136,140082,19510302,  -56,    0
 25136,140082,19510303,  -67,    0
 25136,140082,19510304,  -48,    0
 25136,140082,19510305,  -32,    0
 25136,140082,19510306,   -4,    0
 25136,140082,19510307,   -9,    0
 25136,140082,19510308,  -10,    0
 25136,140082,19510309,  -33,    0
 25136,140082,19510310,  -45,    0
 25136,140082,19510311,  -47,    0
 25136,140082,19510312,   24,    0
 25136,140082,19510313,   44,    0
 25136,140082,19510314,   90,    0
 25136,140082,19510315,   60,    0
 25136,140082,19510316,   25,    0
 25136,140082,19510317,   35,    0
 25136,140082,19510318,  125,    0
 25136,140082,19510319,   90,    0
 25136,140082,19510320,   22,    0
 25136,140082,19510321,  -21,    0
 25136,140082,19510322,   -8,    0
 25136,140082,19510323,   26,    0
 25136,140082,19510324,   63,    0
 25136,140082,19510325,   24,    0
 25136,140082,19510326,   14,    0
 25136,140082,19510327,   27,    0
 25136,140082,19510328,   32,    0
 25136,140082,19510329,   12,    0
 25136,140082,19510330,   19,    0
