EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OSTROLEKA, POLAND (STAID: 25146)
Blended and updated with sources:140202 912285 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25146,140202,19510101,  -58,    0
 25146,140202,19510102,  -27,    0
 25146,140202,19510103,    8,    0
 25146,140202,19510104,   -1,    0
 25146,140202,19510105,  -15,    0
 25146,140202,19510106,   24,    0
 25146,140202,19510107,   17,    0
 25146,140202,19510108,   14,    0
 25146,140202,19510109,   11,    0
 25146,140202,19510110,   14,    0
 25146,140202,19510111,   16,    0
 25146,140202,19510112,   20,    0
 25146,140202,19510113,   23,    0
 25146,140202,19510114,    5,    0
 25146,140202,19510115,   15,    0
 25146,140202,19510116,   10,    0
 25146,140202,19510117,   -3,    0
 25146,140202,19510118,   -2,    0
 25146,140202,19510119,    1,    0
 25146,140202,19510120,    6,    0
 25146,140202,19510121,  -16,    0
 25146,140202,19510122,  -41,    0
 25146,140202,19510123, -130,    0
 25146,140202,19510124, -161,    0
 25146,140202,19510125, -152,    0
 25146,140202,19510126, -107,    0
 25146,140202,19510127,  -94,    0
 25146,140202,19510128,  -52,    0
 25146,140202,19510129,  -72,    0
 25146,140202,19510130, -102,    0
 25146,140202,19510131,  -85,    0
 25146,140202,19510201, -100,    0
 25146,140202,19510202, -106,    0
 25146,140202,19510203, -103,    0
 25146,140202,19510204,  -90,    0
 25146,140202,19510205,  -41,    0
 25146,140202,19510206,    2,    0
 25146,140202,19510207,   30,    0
 25146,140202,19510208,   22,    0
 25146,140202,19510209,    7,    0
 25146,140202,19510210,  -24,    0
 25146,140202,19510211,  -10,    0
 25146,140202,19510212,   16,    0
 25146,140202,19510213,   14,    0
 25146,140202,19510214,   12,    0
 25146,140202,19510215,  -21,    0
 25146,140202,19510216,  -56,    0
 25146,140202,19510217,  -13,    0
 25146,140202,19510218,    3,    0
 25146,140202,19510219,   13,    0
 25146,140202,19510220,    5,    0
 25146,140202,19510221,    3,    0
 25146,140202,19510222,    4,    0
 25146,140202,19510223,   13,    0
 25146,140202,19510224,   15,    0
 25146,140202,19510225,    7,    0
 25146,140202,19510226,   10,    0
 25146,140202,19510227,    4,    0
 25146,140202,19510228,  -22,    0
 25146,140202,19510301,  -19,    0
 25146,140202,19510302,  -64,    0
 25146,140202,19510303, -112,    0
 25146,140202,19510304,  -61,    0
 25146,140202,19510305,  -35,    0
 25146,140202,19510306,  -34,    0
 25146,140202,19510307,  -74,    0
 25146,140202,19510308,  -46,    0
 25146,140202,19510309,  -43,    0
 25146,140202,19510310,  -56,    0
 25146,140202,19510311,  -52,    0
 25146,140202,19510312,  -12,    0
 25146,140202,19510313,   32,    0
 25146,140202,19510314,   35,    0
 25146,140202,19510315,   47,    0
 25146,140202,19510316,    7,    0
 25146,140202,19510317,   -6,    0
 25146,140202,19510318,   67,    0
 25146,140202,19510319,   52,    0
 25146,140202,19510320,   -3,    0
 25146,140202,19510321,  -28,    0
 25146,140202,19510322,    5,    0
 25146,140202,19510323,   34,    0
 25146,140202,19510324,   45,    0
 25146,140202,19510325,   14,    0
 25146,140202,19510326,    9,    0
 25146,140202,19510327,   33,    0
 25146,140202,19510328,   25,    0
 25146,140202,19510329,   25,    0
 25146,140202,19510330,   19,    0
 25146,140202,19510331,   41,    0
 25146,140202,19510401,   54,    0
 25146,140202,19510402,   55,    0
 25146,140202,19510403,   80,    0
 25146,140202,19510404,   61,    0
 25146,140202,19510405,   86,    0
 25146,140202,19510406,   55,    0
 25146,140202,19510407,   88,    0
 25146,140202,19510408,  116,    0
 25146,140202,19510409,   68,    0
 25146,140202,19510410,   67,    0
 25146,140202,19510411,   62,    0
 25146,140202,19510412,   40,    0
 25146,140202,19510413,   62,    0
 25146,140202,19510414,   86,    0
 25146,140202,19510415,   51,    0
 25146,140202,19510416,   49,    0
 25146,140202,19510417,   44,    0
 25146,140202,19510418,   44,    0
 25146,140202,19510419,   93,    0
 25146,140202,19510420,   45,    0
 25146,140202,19510421,   43,    0
 25146,140202,19510422,   45,    0
 25146,140202,19510423,   51,    0
 25146,140202,19510424,   78,    0
 25146,140202,19510425,  123,    0
 25146,140202,19510426,  155,    0
 25146,140202,19510427,  160,    0
 25146,140202,19510428,  163,    0
 25146,140202,19510429,  156,    0
 25146,140202,19510430,  167,    0
 25146,140202,19510501,   98,    0
 25146,140202,19510502,  101,    0
 25146,140202,19510503,   75,    0
 25146,140202,19510504,  120,    0
 25146,140202,19510505,  152,    0
 25146,140202,19510506,  132,    0
 25146,140202,19510507,  138,    0
 25146,140202,19510508,  122,    0
 25146,140202,19510509,  118,    0
 25146,140202,19510510,  119,    0
 25146,140202,19510511,   77,    0
 25146,140202,19510512,   82,    0
 25146,140202,19510513,  138,    0
 25146,140202,19510514,   97,    0
 25146,140202,19510515,   95,    0
 25146,140202,19510516,  100,    0
 25146,140202,19510517,  119,    0
 25146,140202,19510518,  142,    0
 25146,140202,19510519,  145,    0
 25146,140202,19510520,  157,    0
 25146,140202,19510521,  151,    0
 25146,140202,19510522,  121,    0
 25146,140202,19510523,   94,    0
 25146,140202,19510524,  115,    0
 25146,140202,19510525,   76,    0
 25146,140202,19510526,   90,    0
 25146,140202,19510527,  128,    0
 25146,140202,19510528,  159,    0
 25146,140202,19510529,  114,    0
 25146,140202,19510530,   79,    0
 25146,140202,19510531,  110,    0
 25146,140202,19510601,  125,    0
 25146,140202,19510602,  159,    0
 25146,140202,19510603,  171,    0
 25146,140202,19510604,  199,    0
 25146,140202,19510605,  170,    0
 25146,140202,19510606,  189,    0
 25146,140202,19510607,  198,    0
 25146,140202,19510608,  102,    0
 25146,140202,19510609,  119,    0
 25146,140202,19510610,  158,    0
 25146,140202,19510611,  140,    0
 25146,140202,19510612,  153,    0
 25146,140202,19510613,  186,    0
 25146,140202,19510614,  164,    0
 25146,140202,19510615,  203,    0
 25146,140202,19510616,  191,    0
 25146,140202,19510617,  177,    0
 25146,140202,19510618,  217,    0
 25146,140202,19510619,  199,    0
 25146,140202,19510620,  163,    0
 25146,140202,19510621,  165,    0
 25146,140202,19510622,  187,    0
