EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KOLOBRZEG-DZWIRZYNO, POLAND (STAID: 25147)
Blended and updated with sources:140214 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 25147,140214,19510101,  -62,    0
 25147,140214,19510102,  -21,    0
 25147,140214,19510103,    2,    0
 25147,140214,19510104,    2,    0
 25147,140214,19510105,   13,    0
 25147,140214,19510106,   18,    0
 25147,140214,19510107,   32,    0
 25147,140214,19510108,   14,    0
 25147,140214,19510109,   31,    0
 25147,140214,19510110,    3,    0
 25147,140214,19510111,   31,    0
 25147,140214,19510112,   58,    0
 25147,140214,19510113,   26,    0
 25147,140214,19510114,   32,    0
 25147,140214,19510115,   23,    0
 25147,140214,19510116,   17,    0
 25147,140214,19510117,   12,    0
 25147,140214,19510118,   39,    0
 25147,140214,19510119,   28,    0
 25147,140214,19510120,   17,    0
 25147,140214,19510121,   -4,    0
 25147,140214,19510122,  -27,    0
 25147,140214,19510123,  -26,    0
 25147,140214,19510124,  -61,    0
 25147,140214,19510125,  -88,    0
 25147,140214,19510126,  -73,    0
 25147,140214,19510127,  -27,    0
 25147,140214,19510128,  -38,    0
 25147,140214,19510129,  -24,    0
 25147,140214,19510130,  -62,    0
 25147,140214,19510131,  -59,    0
 25147,140214,19510201,  -37,    0
 25147,140214,19510202,  -66,    0
 25147,140214,19510203,  -59,    0
 25147,140214,19510204,  -38,    0
 25147,140214,19510205,   -7,    0
 25147,140214,19510206,   16,    0
 25147,140214,19510207,   11,    0
 25147,140214,19510208,   13,    0
 25147,140214,19510209,   39,    0
 25147,140214,19510210,   20,    0
 25147,140214,19510211,   23,    0
 25147,140214,19510212,    8,    0
 25147,140214,19510213,   10,    0
 25147,140214,19510214,    8,    0
 25147,140214,19510215,  -12,    0
 25147,140214,19510216,  -15,    0
 25147,140214,19510217,   13,    0
 25147,140214,19510218,   18,    0
 25147,140214,19510219,   29,    0
 25147,140214,19510220,   10,    0
 25147,140214,19510221,   29,    0
 25147,140214,19510222,   20,    0
 25147,140214,19510223,   13,    0
 25147,140214,19510224,    5,    0
 25147,140214,19510225,    1,    0
 25147,140214,19510226,   13,    0
 25147,140214,19510227,   10,    0
 25147,140214,19510228,   -2,    0
 25147,140214,19510301,  -21,    0
 25147,140214,19510302,  -28,    0
 25147,140214,19510303,  -48,    0
 25147,140214,19510304,  -38,    0
 25147,140214,19510305,  -37,    0
 25147,140214,19510306,  -16,    0
 25147,140214,19510307,  -13,    0
 25147,140214,19510308,  -10,    0
 25147,140214,19510309,  -16,    0
 25147,140214,19510310,  -36,    0
 25147,140214,19510311,  -46,    0
 25147,140214,19510312,   12,    0
 25147,140214,19510313,   48,    0
 25147,140214,19510314,   47,    0
 25147,140214,19510315,   47,    0
 25147,140214,19510316,   -5,    0
 25147,140214,19510317,   13,    0
 25147,140214,19510318,   67,    0
 25147,140214,19510319,   43,    0
 25147,140214,19510320,   -6,    0
 25147,140214,19510321,    3,    0
 25147,140214,19510322,   27,    0
 25147,140214,19510323,   62,    0
 25147,140214,19510324,   23,    0
 25147,140214,19510325,   19,    0
 25147,140214,19510326,   19,    0
 25147,140214,19510327,   25,    0
 25147,140214,19510328,    1,    0
 25147,140214,19510329,   -1,    0
 25147,140214,19510330,   18,    0
 25147,140214,19510331,   32,    0
 25147,140214,19510401,   49,    0
 25147,140214,19510402,   56,    0
 25147,140214,19510403,   62,    0
 25147,140214,19510404,   69,    0
 25147,140214,19510405,   64,    0
 25147,140214,19510406,   52,    0
 25147,140214,19510407,  118,    0
 25147,140214,19510408,   83,    0
 25147,140214,19510409,   70,    0
 25147,140214,19510410,   64,    0
 25147,140214,19510411,   52,    0
 25147,140214,19510412,   42,    0
 25147,140214,19510413,   99,    0
 25147,140214,19510414,   59,    0
 25147,140214,19510415,   38,    0
 25147,140214,19510416,   91,    0
 25147,140214,19510417,   56,    0
 25147,140214,19510418,   47,    0
 25147,140214,19510419,   59,    0
 25147,140214,19510420,   21,    0
 25147,140214,19510421,   43,    0
 25147,140214,19510422,   26,    0
 25147,140214,19510423,   48,    0
 25147,140214,19510424,  109,    0
 25147,140214,19510425,  104,    0
 25147,140214,19510426,  180,    0
 25147,140214,19510427,  104,    0
 25147,140214,19510428,   66,    0
 25147,140214,19510429,   62,    0
 25147,140214,19510430,   72,    0
 25147,140214,19510501,   69,    0
 25147,140214,19510502,   78,    0
 25147,140214,19510503,   84,    0
 25147,140214,19510504,   79,    0
 25147,140214,19510505,   78,    0
 25147,140214,19510506,   68,    0
 25147,140214,19510507,   69,    0
 25147,140214,19510508,   84,    0
 25147,140214,19510509,   75,    0
 25147,140214,19510510,   64,    0
 25147,140214,19510511,   54,    0
 25147,140214,19510512,   91,    0
 25147,140214,19510513,   91,    0
 25147,140214,19510514,   72,    0
 25147,140214,19510515,   77,    0
 25147,140214,19510516,   72,    0
 25147,140214,19510517,   76,    0
 25147,140214,19510518,   91,    0
 25147,140214,19510519,  108,    0
 25147,140214,19510520,  102,    0
 25147,140214,19510521,  100,    0
 25147,140214,19510522,   98,    0
 25147,140214,19510523,  119,    0
 25147,140214,19510524,   91,    0
 25147,140214,19510525,   73,    0
 25147,140214,19510526,   85,    0
 25147,140214,19510527,  149,    0
 25147,140214,19510528,  130,    0
 25147,140214,19510529,   64,    0
 25147,140214,19510530,   87,    0
 25147,140214,19510531,   84,    0
 25147,140214,19510601,  100,    0
 25147,140214,19510602,  129,    0
 25147,140214,19510603,  164,    0
 25147,140214,19510604,  139,    0
 25147,140214,19510605,  111,    0
 25147,140214,19510606,  134,    0
 25147,140214,19510607,  108,    0
 25147,140214,19510608,  118,    0
 25147,140214,19510609,  102,    0
 25147,140214,19510610,  134,    0
 25147,140214,19510611,  127,    0
 25147,140214,19510612,  151,    0
 25147,140214,19510613,  148,    0
 25147,140214,19510614,  168,    0
 25147,140214,19510615,  176,    0
 25147,140214,19510616,  137,    0
 25147,140214,19510617,  179,    0
 25147,140214,19510618,  158,    0
 25147,140214,19510619,  139,    0
 25147,140214,19510620,  139,    0
 25147,140214,19510621,  145,    0
 25147,140214,19510622,  195,    0
 25147,140214,19510623,  234,    0
 25147,140214,19510624,  213,    0
 25147,140214,19510625,  148,    0
 25147,140214,19510626,  145,    0
 25147,140214,19510627,  135,    0
 25147,140214,19510628,  142,    0
 25147,140214,19510629,  139,    0
 25147,140214,19510630,  140,    0
 25147,140214,19510701,  154,    0
 25147,140214,19510702,  168,    0
 25147,140214,19510703,  165,    0
 25147,140214,19510704,  137,    0
 25147,140214,19510705,  144,    0
 25147,140214,19510706,  123,    0
